"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i","zip_code_result","latitude","longitude","AnzahlSameSizeRadius0To10_i","AnzahlSameSizeRadius10To30_i","AnzahlSameSizeRadius30To60_i","hasPsychologicalPricing_i","log_price","logistic_costs","color","condition"
"Woom 2","Gänserndorf, Niederösterreich","Zuletzt geändert:,05.07.2024, 16:31 Uhr","€ 320","","Grün,Gebraucht,Selbstabholung","Wir verkaufen unser Woom 2 (14 Zoll).","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1151466308/",75,320,NA,"Gänserndorf",2,"Grün","2024-07-05 16:31:00",1720197060,0,"used",0,1,2230,48.33924225064,16.7257945408338,0,148,220,0,5.76832099579377,0.116279069767442,"Grün","used"
"Woom 5 24 zoll","5092 Sankt Martin bei Lofer","Zuletzt geändert:,05.07.2024, 16:19 Uhr","€ 470","Privatperson","Kettenschaltung,Felgenbremse,24 Zoll,Grün,Gebraucht,Selbstabholung","Woom 5 grün","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-24-zoll-1743860015/",77,470,5092,"5092 Sankt Martin bei Lofer",5,"Grün","2024-07-05 16:19:00",1720196340,0,"used",0,0,5092,47.5720792005019,12.6996259977968,0,11,56,0,6.1527326947041,0.769230769230769,"Grün","used"
"Woom 3","Mödling, Niederösterreich","Zuletzt geändert:,05.07.2024, 15:15 Uhr","€ 350","","Violett,Gebraucht,Selbstabholung","Woom3, Farbe Lila, 16 Inch","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2039387301/",79,350,NA,"Mödling",3,"Violett","2024-07-05 15:15:00",1720192500,0,"used",0,1,2340,48.0830407148611,16.2908222993186,57,178,202,0,5.85793315448346,0.0666666666666667,"Violett","used"
"WOOM 2","4115 Kleinzell im Mühlkreis","Zuletzt geändert:,05.07.2024, 15:14 Uhr","€ 350","Privatperson","Grün,Neuwertig,Selbstabholung, Versand","Wurde nur vier Monate gefahren dann leider schon zu klein, gekauft Februar 2024","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1893318459/",83,350,4115,"4115 Kleinzell im Mühlkreis",2,"Grün","2024-07-05 15:14:00",1720192440,0,"as good as new",1,0,4115,48.4564976020224,13.9978123717639,1,8,68,0,5.85793315448346,0.666666666666667,"Grün","as good as new"
"Woom 2 Fahrrad","Hollabrunn, Niederösterreich","Zuletzt geändert:,05.07.2024, 14:15 Uhr","€ 350","","Violett,Neuwertig,Selbstabholung","Verkaufe sehr gut erhaltenes Fahrrad.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-fahrrad-1004115625/",87,350,NA,"Hollabrunn",2,"Violett","2024-07-05 14:15:00",1720188900,0,"as good as new",0,1,2020,48.5448382,16.0702803,0,27,312,0,5.85793315448346,0.163934426229508,"Violett","as good as new"
"Verkaufe Woom 2, nur kurz verwendet","Neunkirchen, Niederösterreich","Zuletzt geändert:,05.07.2024, 11:31 Uhr","€ 310","","Rot,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/verkaufe-woom-2-nur-kurz-verwendet-1112374365/",97,310,NA,"Neunkirchen",2,"Rot","2024-07-05 11:31:00",1720179060,0,"as good as new",0,1,2620,47.7200811219682,16.079687824848,4,17,195,0,5.73657229747919,0.237154150197628,"Rot","as good as new"
"Woom 4 blau","Vöcklabruck, Oberösterreich","Zuletzt geändert:,06.07.2024, 14:51 Uhr","€ 370","","Kettenschaltung,Felgenbremse,20 Zoll,Blau,Gebraucht,Selbstabholung","Woom 4 mit normalen Gebrauchsspuren ( siehe Fotos). Alles Original. Inkl seitenständer und woom Klingel, Reflektoren vorne und hinten. Inkl. Neuer Bremsbeläge.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-blau-1736752343/",99,370,NA,"Vöcklabruck",4,"Blau","2024-07-06 14:51:00",1720277460,0,"used",0,1,4840,48.0198599,13.649025,5,23,69,0,5.91350300563827,0.413793103448276,"Blau","used"
"Woom 4 inkl original Zubehör","Spittal an der Drau, Kärnten","Zuletzt geändert:,05.07.2024, 09:09 Uhr","€ 350","","20 Zoll,Rot,Gebraucht,Selbstabholung","Verkaufe Woom 4 mit Seitenständer und  Glocke /alles der Marke Woom! In Top-Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-inkl-original-zubehoer-1261936878/",103,350,NA,"Spittal an der Drau",4,"Rot","2024-07-05 09:09:00",1720170540,0,"used",0,1,9800,46.7986780631248,13.5009302417885,1,4,9,0,5.85793315448346,2.60869565217391,"Rot","used"
"WOOM 3 Fahrrad grün inkl. Zubehör","Mödling, Niederösterreich","Zuletzt geändert:,05.07.2024, 10:07 Uhr","€ 350","","bis 16 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-fahrrad-gruen-inkl-zubehoer-1464835221/",104,350,NA,"Mödling",3,"Grün","2024-07-05 10:07:00",1720174020,0,"used",0,1,2340,48.0830407148611,16.2908222993186,57,178,202,0,5.85793315448346,0.0666666666666667,"Grün","used"
"Woom 3","8160 Weiz","Zuletzt geändert:,05.07.2024, 08:45 Uhr","€ 300","Privatperson","Felgenbremse,Blau,Gebraucht,Selbstabholung","Woom 3 mit leichten Gebrauchsspuren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1537724249/",105,300,8160,"8160 Weiz",3,"Blau","2024-07-05 08:45:00",1720169100,0,"used",0,0,8160,47.2086261,15.6534885454484,0,30,40,0,5.7037824746562,0.6,"Blau","used"
"Woom 2","8160 Weiz","Zuletzt geändert:,05.07.2024, 08:47 Uhr","€ 320","Privatperson","Felgenbremse,Violett,Gebraucht,Selbstabholung","Woom 2 in gutem Zustand zu verkaufen.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-2067269839/",106,320,8160,"8160 Weiz",2,"Violett","2024-07-05 08:47:00",1720169220,0,"used",0,0,8160,47.2086261,15.6534885454484,0,30,40,0,5.76832099579377,0.6,"Violett","used"
"Woom 3 in Lila","1160 Wien, 16. Bezirk, Ottakring","Zuletzt geändert:,05.07.2024, 07:46 Uhr","€ 320","Privatperson","bis 16 Zoll,Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-in-lila-1650871459/",108,320,1160,"1160 Wien",3,"Violett","2024-07-05 07:46:00",1720165560,0,"used",0,0,1160,48.2189223,16.2952994,133,149,181,0,5.76832099579377,0.0469851213782302,"Violett","used"
"Woom 4 Kinderfahrrad","Mödling, Niederösterreich","Zuletzt geändert:,05.07.2024, 06:25 Uhr","€ 490","","Kettenschaltung,Felgenbremse,20 Zoll,Rot,Gebraucht,Selbstabholung","Super leichtes Woom 4 Kinderfahrrad für Kinder ab 6 Jahren mit 7-Gang-Schaltung und Zubehör:","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-kinderfahrrad-1522822140/",112,490,NA,"Mödling",4,"Rot","2024-07-05 06:25:00",1720160700,0,"used",0,1,2340,48.0830407148611,16.2908222993186,57,178,202,1,6.19440539110467,0.0666666666666667,"Rot","used"
"woom 3 rot","8042 Graz","Zuletzt geändert:,05.07.2024, 05:27 Uhr","€ 350","Privatperson","Felgenbremse,Rot,Gebraucht,Selbstabholung","Gebrauchtes und gefahrenes woom 3 in rot.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-rot-793700431/",114,350,8042,"8042 Graz",3,"Rot","2024-07-05 05:27:00",1720157220,0,"used",0,0,8042,47.0626429,15.4843065,19,29,39,0,5.85793315448346,0.28436018957346,"Rot","used"
"Kinder / Woom 1 Laufrad lila","Liezen, Steiermark","Zuletzt geändert:,05.07.2024, 00:55 Uhr","€ 190","","bis 35 cm,bis 16 Zoll,Violett,Neuwertig,Selbstabholung","Verkaufen unser geliebtes Woom 1 Laufrad in der Farbe lila. Gern benutzt, darauf geachtet, normale Gebrauchsspuren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinder-woom-1-laufrad-lila-1591004640/",118,190,NA,"Liezen",1,"Violett","2024-07-05 00:55:00",1720140900,0,"as good as new",0,1,8940,47.5640945,14.2380409625563,0,2,36,1,5.24702407216049,1.5,"Violett","as good as new"
"Woom 6 blau","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,04.07.2024, 21:04 Uhr","€ 420","","Kettenschaltung,Felgenbremse,40 cm,26 Zoll,Blau,Gebraucht,Selbstabholung","Verkaufe Woom 6 in einem wunderschönen dunkelblau.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-blau-1891423342/",121,420,NA,"Bruck an der Leitha",6,"Blau","2024-07-04 21:04:00",1720127040,0,"used",0,1,2460,48.01475175,16.7755597565265,15,14,321,0,6.04025471127741,0.136674259681093,"Blau","used"
"Woom 1 Laufrad mit Trittbrett (Surfer) und Ständer","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,04.07.2024, 21:10 Uhr","€ 200","","Violett,Neuwertig,Selbstabholung, Versand","Wir verkaufen unser sehr gut erhaltenes, sehr schönes Laufrad Woom 1, mit Trittbrett und Ständer","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-1-laufrad-mit-trittbrett-surfer-und-staender-1961744061/",122,200,NA,"Bruck an der Leitha",1,"Violett","2024-07-04 21:10:00",1720127400,0,"as good as new",1,1,2460,48.01475175,16.7755597565265,15,14,321,0,5.29831736654804,0.136674259681093,"Violett","as good as new"
