"title","location","last_modified","price","seller_info","details","description","item_url","obs_id","price_parsed","zip_code","city_name","WoomCategory_i","Color_i","last_modified_dt","last_modified_unix","Last_48_hours_i","Cond_i","Uebergabeart_i","Dealer_i"
"Woom 3 lila","Perg, Oberösterreich","Zuletzt geändert:,04.07.2024, 14:34 Uhr","€ 350","","Felgenbremse,Violett,Gebraucht,Selbstabholung","Verkaufe neuwertiges Woom 3 das ca. 1 Jahr alt ist, wir haben es neu gekauft und wurde sehr wenig gefahren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-lila-1181973603/",157,350,NA,"Perg","3","Violett",2024-07-04 14:34:00,1720103640,0,"used",0,1
"woom NOW 6 in moss green - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,04.07.2024, 12:56 Uhr","","","Kettenschaltung,Scheibenbremse,26 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-now-6-in-moss-green-kinderfahrrad-direkt-vom-hersteller-1723061620/",158,NA,"3400","3400 Klosterneuburg","6","Grün",2024-07-04 12:56:00,1720097760,0,"used",0,1
"Woom 1","","Zuletzt geändert:,04.07.2024, 13:26 Uhr","€ 180","","Blau,Gebraucht,Selbstabholung","Ein jahr verwendet dann direkt auf die nächste stufe umgestiegen. Mit klingel.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-1-1924177123/",159,180,NA,"","1","Blau",2024-07-04 13:26:00,1720099560,0,"used",0,1
"Woom City 6","","Zuletzt geändert:,04.07.2024, 14:18 Uhr","€ 500","","Kettenschaltung,Felgenbremse,46 cm,26 Zoll,Rot,Gebraucht,Selbstabholung","Sehr seltene Sonderedition „Woom City 6“ zu verkaufen, die von Woom nicht mehr produziert wird. Inkl. Nabendynamo, sehr guter Lichtanlage, Gepäcksträger und neuer Trinkflasche.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-city-6-2048689058/",160,500,NA,"","6","Rot",2024-07-04 14:18:00,1720102680,0,"used",0,1
"woom ORIGINAL 3 in woom purple haze - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,04.07.2024, 12:53 Uhr","","","Felgenbremse,bis 16 Zoll,Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-3-in-woom-purple-haze-kinderfahrrad-direkt-vom-hersteller-1209574679/",161,NA,"3400","3400 Klosterneuburg","3","Violett",2024-07-04 12:53:00,1720097580,0,"used",0,1
"woom ORIGINAL 3 AUTOMAGIC in woom red - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,05.07.2024, 15:06 Uhr","","","Nabenschaltung,Felgenbremse,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-3-automagic-in-woom-red-kinderfahrrad-direkt-vom-hersteller-2074388368/",162,NA,"3400","3400 Klosterneuburg","3","Rot",2024-07-05 15:06:00,1720191960,1,"used",0,1
"3x woom ORIGINAL 4 in woom green - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,04.07.2024, 13:47 Uhr","","","Kettenschaltung,Felgenbremse,20 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/3x-woom-original-4-in-woom-green-kinderfahrrad-direkt-vom-hersteller-2034157648/",163,NA,"3400","3400 Klosterneuburg","4","Grün",2024-07-04 13:47:00,1720100820,0,"used",0,1
"Woom Original Stem Maintenance KIT","Baden, Niederösterreich","Zuletzt geändert:,04.07.2024, 12:16 Uhr","€ 8","","Grau,Neu,Selbstabholung, Versand","Abzuholen in Kottingbrunn oder 1110 Wien","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-stem-maintenance-kit-1163576929/",164,8,NA,"Baden",NA,"Andere",2024-07-04 12:16:00,1720095360,0,"good",1,1
"WOOM 5","Salzburg-Umgebung, Salzburg","Zuletzt geändert:,04.07.2024, 11:46 Uhr","€ 450","","Grau,Gebraucht,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-978898431/",165,450,NA,"Salzburg-Umgebung","5","Andere",2024-07-04 11:46:00,1720093560,0,"used",1,1
"Woom 3","","Zuletzt geändert:,04.07.2024, 12:11 Uhr","€ 320","","bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Wir verkaufen unseren Woom Bike in einem sauberen und guten Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1387731820/",166,320,NA,"","3","Rot",2024-07-04 12:11:00,1720095060,0,"used",0,1
"Woom 3 neueres Modell mit Kettenschutz","1210 Wien, 21. Bezirk, Floridsdorf","Zuletzt geändert:,06.07.2024, 10:12 Uhr","€ 290","Privatperson","bis 35 cm,bis 16 Zoll,Rot,Neuwertig,Selbstabholung","Sehr guter Zustand,nur wenige Gebrauchtspuren","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-neueres-modell-mit-kettenschutz-1025140484/",167,290,"1210","1210 Wien","3","Rot",2024-07-06 10:12:00,1720260720,1,"as good as new",0,0
"WOOM Kinderfahrräder 1 2 3 4 5 6 und WOOM UP  5 6 NEU zur Abholung in Innsbruck!","6020 Innsbruck","Zuletzt geändert:,04.07.2024, 11:15 Uhr","","","bis 35 cm,bis 16 Zoll,Mehrfarbig,Neu,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-kinderfahrraeder-1-2-3-4-5-6-und-woom-up-5-6-neu-zur-abholung-in-innsbruck-259639458/",168,NA,"6020","6020 Innsbruck","1","Andere",2024-07-04 11:15:00,1720091700,0,"good",1,1
"Woom 5 Off Air","8583 Edelschrott","Zuletzt geändert:,04.07.2024, 11:26 Uhr","€ 800","Privatperson","Scheibenbremse,24 Zoll,Schwarz,Gebraucht,Selbstabholung, Versand","Neuwertiges Woom 5 Off Air wegen Umstieg zu verkaufen.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-off-air-1846704827/",169,800,"8583","8583 Edelschrott","5","Andere",2024-07-04 11:26:00,1720092360,0,"used",1,0
"Mérida Kinder/ Jugendcrossbike","1200 Wien, 20. Bezirk, Brigittenau","Zuletzt geändert:,04.07.2024, 10:15 Uhr","€ 290","Privatperson","Nabenschaltung,Scheibenbremse,24 Zoll,Weiß,Neuwertig,Selbstabholung","Mérida Matts J24 + gl. White (teal/gold) / 20","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/merida-kinder-jugendcrossbike-1622900326/",170,290,"1200","1200 Wien",NA,"Andere",2024-07-04 10:15:00,1720088100,0,"as good as new",0,0
"Woom 3 Kinderfahrrad","Spittal an der Drau, Kärnten","Zuletzt geändert:,04.07.2024, 10:04 Uhr","€ 310","","Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-1199181950/",171,310,NA,"Spittal an der Drau","3","Rot",2024-07-04 10:04:00,1720087440,0,"used",0,1
"Woom 3 lila TOP Zustand","6370 Kitzbühel","Zuletzt geändert:,04.07.2024, 10:14 Uhr","€ 320","Privatperson","Scheibenbremse,Violett,Gebraucht,Selbstabholung, Versand","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-lila-top-zustand-1152367027/",172,320,"6370","6370 Kitzbühel","3","Violett",2024-07-04 10:14:00,1720088040,0,"used",1,0
"Woom rot, neu","8010 Graz","Zuletzt geändert:,04.07.2024, 09:57 Uhr","€ 345","Privatperson","Rot,Neu,Selbstabholung, Versand","Neu in Box","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-rot-neu-1066430686/",173,345,"8010","8010 Graz",NA,"Rot",2024-07-04 09:57:00,1720087020,0,"good",1,0
"Woom 4","Imst, Tirol","Zuletzt geändert:,04.07.2024, 20:30 Uhr","€ 390","","Gelb,Gebraucht,Selbstabholung","Erstbesitz, inkl. Ständer und Klingel! Mitnahme bis Salzburg möglich!","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-915952837/",174,390,NA,"Imst","4","Gelb",2024-07-04 20:30:00,1720125000,0,"used",0,1
"Fahrrad Woom 6 blau","Krems Land, Niederösterreich","Zuletzt geändert:,04.07.2024, 09:47 Uhr","€ 450","","Kettenschaltung,Felgenbremse,Blau,Gebraucht,Selbstabholung, Versand","Verkaufen das Fahhrad unserer Tochter, ein paar optische Gebrauchsspuren, sonst in sehr gutem Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/fahrrad-woom-6-blau-2018650043/",175,450,NA,"Krems Land","6","Blau",2024-07-04 09:47:00,1720086420,0,"used",1,1
"Woom 6 Off","5203 Köstendorf","Zuletzt geändert:,04.07.2024, 08:20 Uhr","€ 760","Privatperson","Kettenschaltung,Scheibenbremse,42 cm,26 Zoll,Schwarz,Gebraucht,Selbstabholung","Verkaufe Woom 6 Off weil meine Tochter zu groß geworden ist.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-6-off-954300022/",176,760,"5203","5203 Köstendorf","6","Andere",2024-07-04 08:20:00,1720081200,0,"used",0,0
"Woom 3","4752 Riedau","Zuletzt geändert:,04.07.2024, 08:21 Uhr","€ 340","","Felgenbremse,bis 35 cm,bis 16 Zoll,Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1553572769/",177,340,"4752","4752 Riedau","3","Blau",2024-07-04 08:21:00,1720081260,0,"as good as new",0,1
"Woom Off 4 - super Zustand samt Fahrradständer","Kärnten","Zuletzt geändert:,04.07.2024, 08:40 Uhr","€ 629","","Scheibenbremse,20 Zoll,Schwarz,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-off-4-super-zustand-samt-fahrradstaender-1763869083/",178,629,NA,"Kärnten","4","Andere",2024-07-04 08:40:00,1720082400,0,"as good as new",0,1
"Puky ZLX 16""","","Zuletzt geändert:,04.07.2024, 07:30 Uhr","€ 159","","Felgenbremse,bis 16 Zoll,Orange,Gebraucht,Selbstabholung","Verkaufen das Kinderfahrrad unseres Sohnes da er mittlerweile zu groß ist dafür und umstieg auf ein Woom.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/puky-zlx-16-1230459190/",179,159,NA,"",NA,"Orange",2024-07-04 07:30:00,1720078200,0,"used",0,1
"Original Woom 4 Fahrrad rot","","Zuletzt geändert:,04.07.2024, 08:14 Uhr","€ 400","","Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/original-woom-4-fahrrad-rot-1920177408/",180,400,NA,"","4","Rot",2024-07-04 08:14:00,1720080840,0,"used",0,1
"Woom 3","Melk, Niederösterreich","Zuletzt geändert:,04.07.2024, 08:21 Uhr","€ 380","","Violett,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1621152045/",181,380,NA,"Melk","3","Violett",2024-07-04 08:21:00,1720081260,0,"as good as new",0,1
"Cube Race Kinderfahrrad","Kärnten","Zuletzt geändert:,04.07.2024, 07:29 Uhr","€ 160","","Nabenschaltung,Felgenbremse,20 Zoll,Schwarz,Gebraucht,Selbstabholung, Versand","Ich verkaufe dieses gut erhaltene Kinderrad. Service wurde heuer im März gemacht. Nicht so leicht wie Woom oder Frogbike, mit 11 kg aber auch kein Schwergewicht.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/cube-race-kinderfahrrad-1521331869/",182,160,NA,"Kärnten",NA,"Andere",2024-07-04 07:29:00,1720078140,0,"used",1,1
"Woom original 3 mit Ständer","Graz, Steiermark","Zuletzt geändert:,04.07.2024, 07:06 Uhr","€ 400","","Violett,Gebraucht,Selbstabholung","Woom original 3 mit Ständer in sehr gutem Zustand.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-3-mit-staender-1928429458/",183,400,NA,"Graz","3","Violett",2024-07-04 07:06:00,1720076760,0,"used",0,1
"Woom 3 lila","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,04.07.2024, 07:22 Uhr","€ 300","","Violett,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-lila-2103075823/",184,300,NA,"Bruck an der Leitha","3","Violett",2024-07-04 07:22:00,1720077720,0,"used",0,1
"Woom 2","Gänserndorf, Niederösterreich","Zuletzt geändert:,04.07.2024, 06:53 Uhr","€ 300","","Felgenbremse,Blau,Neuwertig,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1192415103/",185,300,NA,"Gänserndorf","2","Blau",2024-07-04 06:53:00,1720075980,0,"as good as new",0,1
"Woom 3 rot","Wiener Neustadt Land, Niederösterreich","Zuletzt geändert:,04.07.2024, 07:06 Uhr","€ 300","","Felgenbremse,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","Zwei Jahre altes Woom 3 Kinderrad (16 Zoll) zu verkaufen.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-rot-1861279656/",186,300,NA,"Wiener Neustadt Land","3","Rot",2024-07-04 07:06:00,1720076760,0,"used",0,1
"WOOM 3 Neuwertig, Neues-Modell , Erstbesitz","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,04.07.2024, 06:13 Uhr","€ 400","","Grün,Neuwertig,Selbstabholung","Verkaufe neuwertiges WOOM 3 wegen Umstieg auf nächst höhere WOOM für unseren Sohn.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-neuwertig-neues-modell-erstbesitz-1391725843/",187,400,NA,"Bruck an der Leitha","3","Grün",2024-07-04 06:13:00,1720073580,0,"as good as new",0,1
"Woom 3 AUTOMAGIC","Niederösterreich","Zuletzt geändert:,04.07.2024, 06:23 Uhr","€ 450","","Kettenschaltung,Scheibenbremse,bis 35 cm,bis 16 Zoll,Violett,Neuwertig,Selbstabholung","Erst ½ alt.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-automagic-1994998143/",188,450,NA,"Niederösterreich","3","Violett",2024-07-04 06:23:00,1720074180,0,"as good as new",0,1
"Woom 3","Sankt Johann im Pongau, Salzburg","Zuletzt geändert:,04.07.2024, 06:34 Uhr","€ 350","","Violett,Neuwertig,Selbstabholung","Selten benutzt und nun leider zu klein. Absolut neuwertig.  Originalverpackung vorhanden.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-2041501153/",189,350,NA,"Sankt Johann im Pongau","3","Violett",2024-07-04 06:34:00,1720074840,0,"as good as new",0,1
"Woom off 6","3500 Gneixendorf","Zuletzt geändert:,04.07.2024, 06:56 Uhr","€ 830","Privatperson","Kettenschaltung,Scheibenbremse,26 Zoll,Schwarz,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-off-6-800391317/",190,830,"3500","3500 Gneixendorf","6","Andere",2024-07-04 06:56:00,1720076160,0,"used",0,0
"woom ORIGINAL 5 in woom Moon Grey - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,03.07.2024, 21:50 Uhr","","","Kettenschaltung,Felgenbremse,24 Zoll,Grau,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-5-in-woom-moon-grey-kinderfahrrad-direkt-vom-hersteller-1735992720/",191,NA,"3400","3400 Klosterneuburg","5","Andere",2024-07-03 21:50:00,1720043400,0,"used",0,1
"woom ORIGINAL 5 in woom Midnight blue - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,03.07.2024, 21:10 Uhr","","","Kettenschaltung,Felgenbremse,24 Zoll,Blau,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-5-in-woom-midnight-blue-kinderfahrrad-direkt-vom-hersteller-1158164741/",192,NA,"3400","3400 Klosterneuburg","5","Blau",2024-07-03 21:10:00,1720041000,0,"used",0,1
"woom ORIGINAL 1 Plus in woom red - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,03.07.2024, 21:30 Uhr","","","bis 16 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-1-plus-in-woom-red-kinderfahrrad-direkt-vom-hersteller-1749093017/",193,NA,"3400","3400 Klosterneuburg","1","Rot",2024-07-03 21:30:00,1720042200,0,"used",0,1
"Woom Off","Neusiedl am See, Burgenland","Zuletzt geändert:,04.07.2024, 20:49 Uhr","€ 575","","Kettenschaltung,Scheibenbremse,24 Zoll,Schwarz,Gebraucht,Selbstabholung, Versand","Kinder Mountainbike der österreichischen Marke Woom. Größe 5. Zustand 1a.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-off-1960311127/",194,575,NA,"Neusiedl am See",NA,"Andere",2024-07-04 20:49:00,1720126140,0,"used",1,1
"Kinder Fahrrad Woom 5","","Zuletzt geändert:,04.07.2024, 20:11 Uhr","€ 380","","24 Zoll,Blau,Gebraucht,Selbstabholung","Gebraucht Kinder Fahrrad Woom 5","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinder-fahrrad-woom-5-1879536329/",195,380,NA,"","5","Blau",2024-07-04 20:11:00,1720123860,0,"used",0,1
"WOOOM OFF 5 Fahrrad","2493 Lichtenwörth","Zuletzt geändert:,03.07.2024, 20:57 Uhr","€ 700","Privatperson","Kettenschaltung,Scheibenbremse,60 cm,24 Zoll,Schwarz,Gebraucht,Selbstabholung","Verkaufen WOOM OFF 5 in sehr gutem Zustand aufgrund von Neuanschaffung. Leichte Gebrauchsspuren. Inklusive Getränkehalter.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/wooom-off-5-fahrrad-1250483670/",196,700,"2493","2493 Lichtenwörth","5","Andere",2024-07-03 20:57:00,1720040220,0,"used",0,0
"Woom 4 SUPRA Sonderedition","Tirol","Zuletzt geändert:,03.07.2024, 20:31 Uhr","€ 400","","Kettenschaltung,Felgenbremse,20 Zoll,Grün,Gebraucht,Selbstabholung","Nicht mehr erhältliches und seltenes WOOM 4 Sonderedition SUPRA 2019 mit peppiger Farbkombination (schwarz/grün) und leichteren Bauteile- Karbonsattelstütze, Karbonlenker...","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-supra-sonderedition-2076740376/",197,400,NA,"Tirol","4","Grün",2024-07-03 20:31:00,1720038660,0,"used",0,1
"Kinder Fahrrad Woom 5","","Zuletzt geändert:,04.07.2024, 20:10 Uhr","€ 450","","24 Zoll,Blau,Neu,Selbstabholung","Neue Kinder Fahrrad Woom 5","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/kinder-fahrrad-woom-5-1322433510/",198,450,NA,"","5","Blau",2024-07-04 20:10:00,1720123800,0,"good",0,1
"woom OFF 4 Schwarz / Kupfer - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,03.07.2024, 20:20 Uhr","","","Scheibenbremse,20 Zoll,Mehrfarbig,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-off-4-schwarz-kupfer-kinderfahrrad-direkt-vom-hersteller-808397147/",199,NA,"3400","3400 Klosterneuburg","4","Andere",2024-07-03 20:20:00,1720038000,0,"used",0,1
"WOOM original 3 - grün - 4-6 Jahre","4030 Linz","Zuletzt geändert:,03.07.2024, 20:11 Uhr","€ 380","Privatperson","Tretlagerschaltung,Felgenbremse,40 cm,bis 16 Zoll,Grün,Gebraucht,Selbstabholung","--- WOOM ORIGINAL GR 3 IN GRÜN ---","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-3-gruen-4-6-jahre-1513435525/",200,380,"4030","4030 Linz","3","Grün",2024-07-03 20:11:00,1720037460,0,"used",0,0
"Woom 5","8691 Neuberg an der Mürz","Zuletzt geändert:,03.07.2024, 19:44 Uhr","€ 500","Privatperson","Kettenschaltung,Felgenbremse,24 Zoll,Rot,Neuwertig,Selbstabholung","Aufgrund von Wechsel auf die nächste Größe wird dieses Woom 5 Fahrrad verkauft,","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-5-1137509516/",201,500,"8691","8691 Neuberg an der Mürz","5","Rot",2024-07-03 19:44:00,1720035840,0,"as good as new",0,0
"Schönes Woom 3 Kinderfahrrad in lila / violett, inkl. Schutzblech","Melk, Niederösterreich","Zuletzt geändert:,03.07.2024, 19:58 Uhr","€ 370","","Felgenbremse,bis 16 Zoll,Violett,Gebraucht,Selbstabholung, Versand","Verkaufen unser gut erhaltenes lila Woom 3 Kinderfahrrad","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/schoenes-woom-3-kinderfahrrad-in-lila-violett-inkl-schutzblech-1149133314/",202,370,NA,"Melk","3","Violett",2024-07-03 19:58:00,1720036680,0,"used",1,1
"woom OFF 5 (2022) in black und copper - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,03.07.2024, 19:40 Uhr","","","Kettenschaltung,Scheibenbremse,24 Zoll,Mehrfarbig,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-off-5-2022-in-black-und-copper-kinderfahrrad-direkt-vom-hersteller-977624111/",203,NA,"3400","3400 Klosterneuburg","5","Andere",2024-07-03 19:40:00,1720035600,0,"used",0,1
"GEBRAUCHTRÄDERABVERKAUF - KINDERFAHRRAD DIREKT VOM HERSTELLER - woom ORIGINAL 1,2,3,4,5,6 - OFF/OFF AIR - NOW","3400 Klosterneuburg","Zuletzt geändert:,03.07.2024, 19:20 Uhr","","","Mehrfarbig,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/gebrauchtraederabverkauf-kinderfahrrad-direkt-vom-hersteller-woom-original-1-2-3-4-5-6-off-off-air-now-878575496/",204,NA,"3400","3400 Klosterneuburg","1","Andere",2024-07-03 19:20:00,1720034400,0,"used",0,1
"Woom 3 Automatic","3452 Heiligeneich","Zuletzt geändert:,03.07.2024, 19:30 Uhr","€ 350","Privatperson","Rot,Gebraucht,Selbstabholung","Nur knapp ein Jahr gefahren.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-automatic-1343533325/",205,350,"3452","3452 Heiligeneich","3","Rot",2024-07-03 19:30:00,1720035000,0,"used",0,0
"woom ORIGINAL 3 Automagic in woom red - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,03.07.2024, 19:10 Uhr","","","Nabenschaltung,Felgenbremse,bis 16 Zoll,Rot,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-3-automagic-in-woom-red-kinderfahrrad-direkt-vom-hersteller-1862945511/",206,NA,"3400","3400 Klosterneuburg","3","Rot",2024-07-03 19:10:00,1720033800,0,"used",0,1
"(reserviert) Woom 2","Burgenland","Zuletzt geändert:,04.07.2024, 20:09 Uhr","€ 300","","bis 16 Zoll,Violett,Gebraucht,Selbstabholung","Sehr guter Zustand","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-1008440093/",207,300,NA,"Burgenland","2","Violett",2024-07-04 20:09:00,1720123740,0,"used",0,1
"Woom 3 blau","Melk, Niederösterreich","Zuletzt geändert:,03.07.2024, 18:29 Uhr","€ 300","","Blau,Gebraucht,Selbstabholung","Voll funktionstüchtig und einsatzbereit.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-1579582216/",208,300,NA,"Melk","3","Blau",2024-07-03 18:29:00,1720031340,0,"used",0,1
"Woom 3","Voitsberg, Steiermark","Zuletzt geändert:,05.07.2024, 08:30 Uhr","€ 350","","Felgenbremse,Violett,Gebraucht,Selbstabholung","Verkaufe gut erhaltenes Woom 3 in Lila!!","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-1513534750/",209,350,NA,"Voitsberg","3","Violett",2024-07-05 08:30:00,1720168200,1,"used",0,1
"woom ORIGINAL 3 Automagic in woom Green - KINDERFAHRRAD DIREKT VOM HERSTELLER","3400 Klosterneuburg","Zuletzt geändert:,03.07.2024, 17:50 Uhr","","","Nabenschaltung,Felgenbremse,bis 16 Zoll,Grün,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-original-3-automagic-in-woom-green-kinderfahrrad-direkt-vom-hersteller-1540727477/",210,NA,"3400","3400 Klosterneuburg","3","Grün",2024-07-03 17:50:00,1720029000,0,"used",0,1
"Woom 4 blau","Gmunden, Oberösterreich","Zuletzt geändert:,03.07.2024, 18:16 Uhr","€ 385","","Kettenschaltung,Felgenbremse,Blau,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-blau-921014358/",211,385,NA,"Gmunden","4","Blau",2024-07-03 18:16:00,1720030560,0,"used",0,1
"Woom 3 Kinderfahrrad","Bludenz, Vorarlberg","Zuletzt geändert:,03.07.2024, 17:35 Uhr","€ 350","","Felgenbremse,Grün,Gebraucht,Selbstabholung","Woom 3 in sehr gutem Zustand mit Trail Gator Fahrradstangen Halterung gratis, kann auch entfernt werden wenn gewünscht.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-kinderfahrrad-1851317864/",212,350,NA,"Bludenz","3","Grün",2024-07-03 17:35:00,1720028100,0,"used",0,1
"Woom 4","Südoststeiermark, Steiermark","Zuletzt geändert:,03.07.2024, 17:36 Uhr","€ 400","","20 Zoll,Grün,Neuwertig,Selbstabholung","Woom 4, sehr guter Zustand, Erstbesitz und von nur einem Kind gefahren","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-4-2044835671/",213,400,NA,"Südoststeiermark","4","Grün",2024-07-03 17:36:00,1720028160,0,"as good as new",0,1
"Woom 2","Steiermark","Zuletzt geändert:,03.07.2024, 17:30 Uhr","€ 330","","Violett,Gebraucht,Selbstabholung","Woom 2, kaum Abnutzungen, farblich markierte Bremse zum richtigen bremsen lernen, keine Garantie, Privatverkauf","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-2-2048039516/",214,330,NA,"Steiermark","2","Violett",2024-07-03 17:30:00,1720027800,0,"used",0,1
"Woom 3 blau, Fixpreis!","1020 Wien, 02. Bezirk, Leopoldstadt","Zuletzt geändert:,03.07.2024, 17:23 Uhr","€ 290","Privatperson","bis 16 Zoll,Blau,Gebraucht,Selbstabholung","Woom 3 blau , leichte Gebrauchsspuren, voll funktionstüchtig, Fixpreis!","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-blau-fixpreis-1416798101/",215,290,"1020","1020 Wien","3","Blau",2024-07-03 17:23:00,1720027380,0,"used",0,0
"WOOM 3 in gelb inkl Original Seitenständer","Eisenstadt - Umgebung, Burgenland","Zuletzt geändert:,03.07.2024, 17:08 Uhr","€ 300","","Gelb,Gebraucht,Selbstabholung","","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/woom-3-in-gelb-inkl-original-seitenstaender-1084125961/",216,300,NA,"Eisenstadt - Umgebung","3","Gelb",2024-07-03 17:08:00,1720026480,0,"used",0,1
"Original Woom 3","Bruck an der Leitha, Niederösterreich","Zuletzt geändert:,04.07.2024, 18:44 Uhr","€ 290","","Violett,Gebraucht,Selbstabholung","original woom 3, 16 zoll zu verkaufen.","https://www.willhaben.at/iad/kaufen-und-verkaufen/d/original-woom-3-821458509/",217,290,NA,"Bruck an der Leitha","3","Violett",2024-07-04 18:44:00,1720118640,0,"used",0,1
